Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB,h_initial,States_Evaluated,Heuristic_Time_ms
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hlm-count,28,126,8255,140.7,5.0,8909,63
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hlm-count-filtered,28,123,8255,144.1,5.0,8909,56
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hadd,32,22,136,73.89,14.0,454,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_1.pddl,hmax,28,17,69,74.38,11.0,311,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-local,34,31,114,73.61,34.0,398,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,onld-hadd,40,44,106,73.73,58.0,372,35
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hlm-count,39,95,5305,157.69,6.0,5796,50
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hlm-count-filtered,39,102,5305,148.28,6.0,5796,55
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hadd,34,20,125,74.04,34.0,425,14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_2.pddl,hmax,34,20,56,73.71,17.0,301,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-local,47,33,195,73.53,21.0,405,24
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,onld-hadd,45,42,180,73.43,30.002998,373,34
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hlm-count,72,39,891,73.88,6.0,1414,19
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hlm-count-filtered,72,38,891,73.5,6.0,1414,21
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hadd,41,21,177,73.97,19.0,372,9
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_1_3.pddl,hmax,41,19,82,73.69,13.0,254,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-local,56,74,658,73.68,35.0,1267,51
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,onld-hadd,56,104,707,145.23,56.0,1333,84
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hlm-count,61,33988,7622179,4618.4,8.0,8571958,19237
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hlm-count-filtered,61,34920,7700774,5072.72,8.0,8671842,20136
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hadd,63,34,475,74.18,41.0,996,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_1.pddl,hmax,58,25,223,74.6,14.0,776,15
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-local,144,124,1863,176.97,37.0,3932,92
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,onld-hadd,134,125,1298,140.5,56.006996,2499,104
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hlm-count,255,91516,22060312,3870.97,9.0,23392589,49788
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hlm-count-filtered,244,74607,18491593,3861.86,9.0,19597996,40398
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hadd,130,72,1614,73.7,40.0,3190,38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_2.pddl,hmax,136,106,5200,106.72,16.0,10507,56
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-local,139,174,3869,168.73,33.0,6356,127
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,onld-hadd,155,277,4746,223.96,50.005997,7397,222
